query,match,e-value,percent,coverage,bitscore,kingdom,phylum,class,order,family,genus,species
OTU_650,KM231830|SH1546575.08FU,1.22e-124,98.785,247,448,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Paracremonium,Paracremonium_inflatum
OTU_65,GU941431|SH1547563.08FU,1.77e-134,100.000,250,481,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,unidentified,unidentified,Malasseziales_sp
OTU_649,KC774601|SH1567461.08FU,2.16e-71,87.288,236,271,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Lopadostoma,Lopadostoma_pouzarii
OTU_648,MH141271|SH1576416.08FU,5.07e-76,89.883,257,287,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes_sp
OTU_647,MT644299|SH1522920.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Neofabraea,Neofabraea_actinidiae
OTU_646,MN540702|SH1612290.08FU,5.25e-131,99.200,250,469,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Hypoxylon,Hypoxylon_investiens
OTU_645,MN161927|SH2710636.08FU,4.93e-32,86.861,137,141,Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_ord_Incertae_sedis,Dothideomycetes_fam_Incertae_sedis,Neosonderhenia,Neosonderhenia_eucalypti
OTU_644,MT373362|SH3568198.08FU,3.22e-125,98.765,243,450,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Poaceascoma,Poaceascoma_sp
OTU_643,KF830093|SH1648512.08FU,1.77e-134,100.000,250,481,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Panaeolus,Panaeolus_papilionaceus
OTU_642,MH268113|SH1153679.08FU,2.82e-107,95.618,251,390,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Thozetella,Thozetella_sp
OTU_641,KJ706297|SH1651386.08FU,5.22e-120,98.718,234,433,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium,Leucosporidium_fellii
OTU_640,MT553329|SH3567684.08FU,1.36e-98,95.197,229,362,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Phaeographis,Phaeographis_sp
OTU_64,MN071376|SH1541139.08FU,9.64e-133,99.600,250,475,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Xylaria_sp
OTU_639,EF419944|SH1614035.08FU,1.31e-43,95.575,113,179,Fungi,Ascomycota,Dothideomycetes,unidentified,unidentified,unidentified,Dothideomycetes_sp
OTU_638,KF436033|SH1156308.08FU,1.36e-98,98.049,205,362,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes_sp
OTU_637,FJ820775|SH1576421.08FU,1.38e-120,97.222,252,435,Fungi,Ascomycota,Sordariomycetes,Phomatosporales,Phomatosporaceae,Phomatospora,Phomatospora_sp
OTU_636,MW021161|SH1966694.08FU,9.64e-133,99.600,250,475,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium_sp
OTU_635,MT925653|SH3567456.08FU,1.54e-105,94.332,247,385,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Tropicoporus,Tropicoporus_sp
OTU_633,KC507209|SH1570810.08FU,1.03e-40,94.595,111,169,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes_sp
OTU_632,KM657890|SH1594041.08FU,1.21e-113,97.021,235,412,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus_sp
OTU_631,MG881823|SH1541168.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_primolutea
OTU_630,KC966091|SH1151818.08FU,1.94e-86,90.079,252,321,Fungi,Ascomycota,Sordariomycetes,Boliniales,Boliniales_fam_Incertae_sedis,Paramicrothyrium,Paramicrothyrium_sp
OTU_63,KT328679|SH1548076.08FU,9.64e-133,99.600,250,475,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Zasmidium,Zasmidium_sp
OTU_628,KX611053|SH1645098.08FU,1.87e-31,94.253,87,139,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta_sp
OTU_627,MK484055|SH2596165.08FU,4.00e-84,94.686,207,314,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Hyaloriaceae,Protomerulius,Protomerulius_microsporus
OTU_626,JQ341124|SH1543738.08FU,9.64e-133,99.600,250,475,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum_sp
OTU_625,DQ102424|SH1608943.08FU,5.25e-131,99.200,250,469,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium_sp
OTU_624,GU053897|SH1236964.08FU,1.77e-134,100.000,250,481,Fungi,Basidiomycota,Agaricomycetes,Russulales,unidentified,unidentified,Russulales_sp
OTU_623,MT373496|SH1570231.08FU,2.12e-38,96.774,93,162,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Trichomonascus,Trichomonascus_ciferrii
OTU_622,KP308793|SH1238759.08FU,8.99e-23,87.755,98,110,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_nudiuscula
OTU_621,KT160617|SH1523770.08FU,4.09e-117,96.000,250,423,Fungi,Ascomycota,Leotiomycetes,Helotiales,unidentified,unidentified,Helotiales_sp
OTU_620,MT184905|SH3567955.08FU,7.14e-42,81.818,253,173,Fungi,Ascomycota,Sordariomycetes,Pseudodactylariales,Pseudodactylariaceae,Pseudodactylaria,Pseudodactylaria_sp
OTU_62,MF495441|SH1541136.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Xylaria_sp
OTU_619,HQ449983|SH1555968.08FU,5.18e-109,99.522,209,396,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_sp
OTU_618,MF615003|SH1509519.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Leotiomycetes,unidentified,unidentified,unidentified,Leotiomycetes_sp
OTU_617,UDB0243452|SH1505630.08FU,4.35e-25,92.857,84,117,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_sp
OTU_616,GU053905|SH1544539.08FU,1.77e-134,100.000,250,481,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Phlebia,Phlebia_sp
OTU_615,MT887562|SH1552672.08FU,7.09e-31,90.816,98,137,Fungi,Ascomycota,Sordariomycetes,Xylariales,Sporocadaceae,Neopestalotiopsis,Neopestalotiopsis_sp
OTU_614,KU204641|SH1171937.08FU,7.45e-108,96.708,243,392,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum_ignotum
OTU_613,MK782324|SH3566462.08FU,1.20e-102,94.093,237,375,Fungi,Ascomycota,Sordariomycetes,Hypocreales,unidentified,unidentified,Hypocreales_sp
OTU_612,KC966091|SH1151818.08FU,6.34e-46,94.783,115,187,Fungi,Ascomycota,Sordariomycetes,Boliniales,Boliniales_fam_Incertae_sedis,Paramicrothyrium,Paramicrothyrium_sp
OTU_611,MT152184|SH1173549.08FU,5.25e-131,99.200,250,469,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetales_fam_Incertae_sedis,Trichaptum,Trichaptum_byssogenum
OTU_610,FR716678|SH1514522.08FU,3.48e-55,84.519,239,217,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Scleroramularia,Scleroramularia_asiminae
OTU_61,MN886594|SH1615617.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Ovatospora,Ovatospora_brasiliensis
OTU_609,FJ820737|SH1555986.08FU,2.80e-96,91.373,255,354,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Fusariella,Fusariella_sp
OTU_608,KF800638|SH1193368.08FU,3.97e-73,88.446,251,277,Fungi,Ascomycota,Sordariomycetes,Microascales,unidentified,unidentified,Microascales_sp
OTU_607,KR611876|SH1143820.08FU,8.32e-93,91.797,256,342,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Circinotrichum,Circinotrichum_papakurae
OTU_606,KY173427|SH1526133.08FU,9.50e-111,97.468,237,402,Fungi,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Ochroconis,Ochroconis_capsici
OTU_605,EU002935|SH1644432.08FU,5.22e-120,97.581,248,433,Fungi,Ascomycota,Sordariomycetes,Hypocreales,unidentified,unidentified,Hypocreales_sp
OTU_604,JN870280|SH1555934.08FU,5.87e-116,96.825,252,419,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,Pleosporales_sp
OTU_603,MH864096|SH1644387.08FU,2.24e-126,98.800,250,454,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Plectosphaerella,Plectosphaerella_cucumerina
OTU_602,JF440983|SH1177757.08FU,1.03e-40,90.511,137,169,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariales_fam_Incertae_sedis,Basiseptospora,Basiseptospora_fallax
OTU_601,MH862304|SH1646408.08FU,1.56e-127,98.400,250,458,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,Peniophora_guadelupensis
OTU_600,MN989383|SH1650588.08FU,1.99e-130,100.000,243,467,Fungi,Ascomycota,Dothideomycetes,Hysteriales,Hysteriaceae,Rhytidhysteron,Rhytidhysteron_sp
OTU_60,KC907376|SH1238250.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Sordariomycetes,Hypoceales,Amplistromataceae,Amplistroma,Amplistroma_erinaceum
OTU_6,MN860006|SH1591179.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Corynesporascaceae,Corynespora,Corynespora_cassiicola
OTU_599,FJ553951|SH1187491.08FU,3.05e-37,80.545,257,158,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Extremaceae,Petrophila,Petrophila_sp
OTU_597,JQ717359|SH1569892.08FU,3.55e-88,92.460,252,327,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,unidentified,Bionectriaceae_sp
OTU_596,MH846232|SH1547057.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Neodidymelliopsis,Neodidymelliopsis_sambuci
OTU_595,MT594373|SH1606643.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella_sp
OTU_594,MN396529|SH1521418.08FU,9.64e-133,100.000,247,475,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Eupenidiella,Eupenidiella_venezuelensis
OTU_593,MT626054|SH1545680.08FU,1.46e-28,94.937,79,129,Fungi,Ascomycota,Sordariomycetes,Sordariales,Cephalothecaceae,Phialemonium,Phialemonium_inflatum
OTU_592,KF823616|SH1216163.08FU,1.55e-116,97.619,252,421,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,unidentified,Ceratobasidiaceae_sp
OTU_591,GU053826|SH1610881.08FU,1.77e-134,100.000,250,481,Fungi,Basidiomycota,Agaricomycetes,Polyporales,unidentified,unidentified,Polyporales_sp
OTU_590,MT000404|SH1530004.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_paxilli
OTU_59,KF420417|SH1174638.08FU,4.60e-113,97.009,234,410,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Zasmidium,Zasmidium_sp
OTU_589,KY103507|SH1522792.08FU,5.25e-131,99.200,250,469,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Hannaella,Hannaella_pagnoccae
OTU_588,KC966091|SH1151818.08FU,5.75e-83,89.020,255,310,Fungi,Ascomycota,Sordariomycetes,Boliniales,Boliniales_fam_Incertae_sedis,Paramicrothyrium,Paramicrothyrium_sp
OTU_587,MK928490|SH1563103.08FU,3.65e-132,100.000,246,473,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Neonothopanus,Neonothopanus_nambi
OTU_586,EU552138|SH1565468.08FU,1.36e-98,92.400,250,362,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Lophiostoma,Lophiostoma_cynaroidis
OTU_585,MT792005|SH1531177.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Thermoascaceae,Byssochlamys,Byssochlamys_lagunculariae
OTU_584,MT594364|SH1516571.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii
OTU_583,KR476730|SH1151208.08FU,3.45e-44,92.562,121,181,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriales_fam_Incertae_sedis,Neostrelitziana,Neostrelitziana_acaciigena
OTU_582,KJ780758|SH1517597.08FU,5.22e-120,98.718,234,433,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Gelasinospora,Gelasinospora_calospora
OTU_581,MT626052|SH1524420.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Parengyodontium,Parengyodontium_album
OTU_580,KR093956|SH1157005.08FU,2.39e-34,80.252,238,148,Fungi,Ascomycota,Sordariomycetes,Sordariales,unidentified,unidentified,Sordariales_sp
OTU_58,FM172841|SH1570573.08FU,8.38e-104,98.086,209,379,Fungi,Ascomycota,Sordariomycetes,Xylariales,unidentified,unidentified,Xylariales_sp
OTU_579,KF025650|SH1546338.08FU,9.57e-122,97.610,251,439,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_cuneirostrum
OTU_578,EU686794|SH1193363.08FU,5.83e-105,98.592,213,383,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,unidentified,Halosphaeriaceae_sp
OTU_577,LC229654|SH2590663.08FU,8.04e-38,97.059,102,160,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota_sp
OTU_576,KY250379|SH1554934.08FU,5.83e-105,94.422,251,383,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_capnodes
OTU_575,MF495396|SH1540607.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe_fraxini-angustifoliae
OTU_574,MK336523|SH1507376.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Endomelanconiopsis,Endomelanconiopsis_endophytica
OTU_573,MK828607|SH2595148.08FU,7.39e-97,100.000,185,356,Fungi,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Lepteutypa,Lepteutypa_aquatica
OTU_572,KR476730|SH1151208.08FU,3.94e-62,88.312,231,241,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriales_fam_Incertae_sedis,Neostrelitziana,Neostrelitziana_acaciigena
OTU_571,KF274476|SH1244394.08FU,8.99e-23,84.259,108,110,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota_sp
OTU_570,KF617709|SH1171008.08FU,4.35e-25,94.872,78,117,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Venturia,Venturia_sp
OTU_57,MT093643|SH1546322.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_sp
OTU_569,KT289540|SH1576418.08FU,1.15e-25,89.130,92,119,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes_sp
OTU_568,MK874907|SH1526281.08FU,3.41e-22,95.385,65,108,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,unidentified,Clavicipitaceae_sp
OTU_567,KU728488|SH1155584.08FU,2.86e-129,98.800,250,464,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Coleophoma,Coleophoma_ericicola
OTU_566,KT328832|SH1238536.08FU,8.44e-115,97.222,252,415,Fungi,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Erythrobasidium,Erythrobasidium_sp
OTU_565,MT022465|SH1560626.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_sclerotigenum
OTU_564,MF976012|SH1169278.08FU,6.38e-57,85.317,252,223,Fungi,Ascomycota,Dothideomycetes,Patellariales,unidentified,unidentified,Patellariales_sp
OTU_563,KT328610|SH1176850.08FU,3.18e-103,94.141,256,377,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,unidentified,Plectosphaerellaceae_sp
OTU_562,MH861220|SH1593869.08FU,1.21e-113,96.414,251,412,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus_abruptibulbus
OTU_561,KF274156|SH1565809.08FU,1.02e-29,100.000,69,133,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,unidentified,unidentified,Chaetothyriales_sp
OTU_560,MN906066|SH1604547.08FU,4.11e-128,99.200,250,460,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Pluteus,Pluteus_petasatus
OTU_56,MF495427|SH1541120.08FU,2.86e-129,98.800,250,464,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Xylaria_sp
OTU_559,KT324582|SH1240304.08FU,3.55e-88,96.078,204,327,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Anteagloniaceae,Flammeascoma,Flammeascoma_lignicola
OTU_558,MT093637|SH1555458.08FU,5.25e-131,99.200,250,469,Fungi,Ascomycota,Sordariomycetes,Xylariales,Microdochiaceae,Microdochium,Microdochium_sp
OTU_557,MN065475|SH1591990.08FU,6.57e-101,92.829,251,369,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Microcyclosporella,Microcyclosporella_mali
OTU_556,KU581842|SH1143000.08FU,4.60e-113,95.618,251,410,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Devriesia,Devriesia_sp
OTU_555,MW063202|SH3595229.08FU,2.47e-89,92.369,249,331,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Mycoleptodiscus,Mycoleptodiscus_sp
OTU_553,KT777729|SH1579759.08FU,1.98e-119,97.200,250,431,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Microdiplodia,Microdiplodia_sp
OTU_552,GU300092|SH1541233.08FU,9.57e-122,99.145,234,439,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Xylaria_oligotoma
OTU_551,DQ028824|SH1551279.08FU,9.44e-100,98.529,204,365,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,unidentified,Ceratobasidiaceae_sp
OTU_550,KP889464|SH1602972.08FU,4.41e-47,88.608,158,191,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,Trechispora_sp
OTU_55,MT141149|SH1532794.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_terreus
OTU_549,MK968731|SH1555657.08FU,1.56e-127,98.400,250,458,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,Ganoderma_australe
OTU_548,MH268096|SH1508194.08FU,1.99e-130,99.593,246,467,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes_sp
OTU_547,MH863777|SH1552316.08FU,5.25e-131,98.800,250,469,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Phellinus,Phellinus_caribaeo-quercicola
OTU_546,JN225911|SH1180999.08FU,6.30e-35,98.765,81,150,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,unidentified,Xylariaceae_sp
OTU_545,MW132061|SH1628474.08FU,4.97e-43,80.385,260,177,Fungi,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,Eutypella,Eutypella_sp
OTU_544,KY582120|SH1560527.08FU,4.63e-124,98.780,246,446,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypomyces,Hypomyces_sp
OTU_543,KY103852|SH1523559.08FU,4.54e-91,93.676,253,337,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Kockovaella,Kockovaella_lichenicola
OTU_542,JN225910|SH1557592.08FU,8.09e-49,81.783,258,196,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,unidentified,Xylariaceae_sp
OTU_541,MK450683|SH1535999.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_sp
OTU_540,MH860489|SH2705317.08FU,1.18e-69,88.372,258,266,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Sporothrix,Sporothrix_ramosissima
OTU_54,MN263012|SH1648627.08FU,2.23e-115,100.000,217,417,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Harrya,Harrya_sp
OTU_539,MT000398|SH3566949.08FU,2.13e-49,84.190,253,198,Fungi,Ascomycota,Sordariomycetes,Xylariales,Cainiaceae,Cainia,Cainia_graminis
OTU_538,MH268126|SH1613816.08FU,4.63e-124,99.574,235,446,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Trematosphaeriaceae,unidentified,Trematosphaeriaceae_sp
OTU_537,KY413759|SH1541166.08FU,2.51e-111,95.219,251,404,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,unidentified,Xylariaceae_sp
OTU_536,EF619877|SH1563110.08FU,3.92e-51,91.613,155,204,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,Agaricomycetes_sp
OTU_535,KF614881|SH1160311.08FU,8.15e-60,91.304,184,233,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,unidentified,unidentified,Chaetothyriales_sp
OTU_534,KC966091|SH1151818.08FU,1.49e-50,91.176,170,202,Fungi,Ascomycota,Sordariomycetes,Boliniales,Boliniales_fam_Incertae_sedis,Paramicrothyrium,Paramicrothyrium_sp
OTU_533,JF797198|SH1202795.08FU,1.22e-124,99.576,236,448,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus_sp
OTU_532,KM225682|SH1173738.08FU,3.53e-77,88.800,250,291,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Thyronectria,Thyronectria_rhodochlora
OTU_531,KU144638|SH1150017.08FU,3.09e-59,90.476,168,231,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Pezizomycotina
OTU_530,MH873183|SH3321695.08FU,4.09e-117,96.000,250,423,Fungi,Basidiomycota,Agaricomycetes,Russulales,Lachnocladiaceae,Vararia,Vararia_rugosispora
OTU_53,JQ811555|SH1644892.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,unidentified,Clavicipitaceae_sp
OTU_529,KC507295|SH1518040.08FU,9.64e-133,99.600,250,475,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nodulisporium,Nodulisporium_sp
OTU_528,MH862464|SH1202693.08FU,2.84e-118,97.119,243,427,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus_fiardii
OTU_527,MN562130|SH3565284.08FU,1.34e-76,89.300,243,289,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Clypeosphaeria,Clypeosphaeria_oleae
OTU_526,AY605710|SH1599721.08FU,1.77e-134,100.000,250,481,Fungi,Basidiomycota,unidentified,unidentified,unidentified,unidentified,Basidiomycota_sp
OTU_525,HQ441574|SH1182517.08FU,1.72e-90,93.200,250,335,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariales_fam_Incertae_sedis,Heteroacanthella,Heteroacanthella_acanthophysa
OTU_524,MH151011|SH1542818.08FU,2.78e-85,90.476,252,317,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Hypoxylon,Hypoxylon_sp
OTU_523,MF621585|SH1507866.08FU,3.65e-132,100.000,246,473,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Zygosporium,Zygosporium_sp
OTU_522,MN700641|SH1515060.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium_pullulans
OTU_521,MG707509|SH3565531.08FU,2.47e-89,90.079,252,331,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,unidentified,Teratosphaeriaceae_sp
OTU_520,MT605261|SH1543716.08FU,9.64e-133,99.600,250,475,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum_gigasporum
OTU_52,AY433808|SH1569029.08FU,1.68e-57,85.600,250,225,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota_sp
OTU_519,EU686935|SH1142284.08FU,4.60e-113,100.000,213,410,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes_sp
OTU_518,LC131416|SH2703273.08FU,8.44e-115,97.166,247,415,Fungi,Basidiomycota,Dacrymycetes,Dacrymycetales,Dacrymycetaceae,Calocera,Calocera_pedicellata
OTU_517,GQ851895|SH1574445.08FU,8.38e-104,94.821,251,379,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,Clitopilus_sp
OTU_516,KM104102|SH1509542.08FU,3.11e-70,87.698,252,267,Fungi,Ascomycota,Leotiomycetes,Helotiales,unidentified,unidentified,Helotiales_sp
OTU_515,MK448255|SH2596464.08FU,9.37e-89,93.860,228,329,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Dissoconiaceae,Ramichloridium,Ramichloridium_punctatum
OTU_514,GU054164|SH1193376.08FU,1.70e-68,87.085,271,262,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes_sp
OTU_513,JN116594|SH1557809.08FU,2.49e-100,95.142,247,367,Fungi,Ascomycota,Sordariomycetes,Hypocreales,unidentified,unidentified,Hypocreales_sp
OTU_512,JX559557|SH1540603.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe_sp
OTU_511,KF280326|SH1567658.08FU,1.99e-130,99.602,251,467,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus_djamor
